seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr10	84534061	84534164	104	*	X049	216197	84526305	84534062	7758	-	0	overlapStart	0	Ckap4
chr10	94944191	94945441	1251	*	X051	54712	94790866	94944835	153970	-	0	overlapStart	0	Plxnc1
chr10	95563683	95564033	351	*	X052	71207	95547007	95564146	17140	-	0	inside	112	Nudt4
chr10	98914509	98915509	1001	*	X053	67972	98914406	99026143	111738	+	0	inside	102	Atp2b1
chr10	117845681	117846055	375	*	X055	215449	117813871	117846035	32165	-	0	overlapStart	0	Rap1b
chr10	127059388	127060185	798	*	X058	216438	127055011	127060184	5174	-	0	overlapStart	0	Marchf9
chr10	127288711	127289020	310	*	X059	110962	127281956	127289018	7063	-	0	overlapStart	0	Mbd6
chr10	127288711	127289020	310	*	X059	13198	127290774	127296288	5515	+	1753	upstream	1753	Ddit3
chr10	127739530	127739875	346	*	X062	320080	127739538	127747349	7812	+	0	overlapStart	0	Zbtb39
chr11	21238814	21239162	349	*	X064	245944	21239281	21321136	81856	+	118	upstream	118	Vps54
chr11	23306975	23307312	338	*	X065	17847	23306895	23490560	183666	+	0	inside	79	Usp34
chr11	30267889	30268214	326	*	X067	20742	30099395	30268169	168775	-	0	overlapStart	0	Sptbn1
chr11	30268271	30268436	166	*	X068	20742	30099395	30268169	168775	-	101	upstream	101	Sptbn1
chr11	32347646	32347981	336	*	X069	268396	32347820	32428173	80354	+	0	overlapStart	0	Sh3pxd2b
chr11	49712346	49712658	313	*	X070	104625	49671503	49712723	41221	-	0	inside	64	Cnot6
chr11	49901716	49901788	73	*	X071	74563	49901835	49980994	79160	+	46	upstream	46	Rasgef1c
chr11	49901841	49902275	435	*	X072	74563	49901835	49980994	79160	+	0	inside	5	Rasgef1c
chr11	50025259	50025301	43	*	X073	59044	50025346	50125719	100374	+	44	upstream	44	Rnf130
chr11	50025344	50025620	277	*	X074	59044	50025346	50125719	100374	+	0	overlapStart	0	Rnf130
chr11	53350513	53350969	457	*	X075	93736	53350833	53421830	70998	+	0	overlapStart	0	Aff4
chr11	60105026	60105589	564	*	X078	19377	60105013	60199197	94185	+	0	inside	12	Rai1
chr11	60417294	60417680	387	*	X079	66771	60417145	60450927	33783	+	0	inside	148	Gid4
chr11	69368783	69369216	434	*	X080	216848	69343273	69369406	26134	-	0	inside	189	Chd3
chr11	69935641	69935838	198	*	X082	53422	69935796	69941605	5810	+	0	overlapStart	0	Ybx2
chr11	72489616	72489744	129	*	X083	216892	72451638	72489904	38267	-	0	inside	159	Spns2
chr11	72490077	72490114	38	*	X084	216892	72451638	72489904	38267	-	172	upstream	172	Spns2
chr11	73018797	73018883	87	*	X085	100043309	73015856	73018841	2986	-	0	overlapStart	0	4732414G09Rik
chr11	73018797	73018883	87	*	X085	55984	73019008	73042073	23066	+	124	upstream	124	Camkk1
chr11	73018992	73019224	233	*	X086	100043309	73015856	73018841	2986	-	150	upstream	150	4732414G09Rik
chr11	73018992	73019224	233	*	X086	55984	73019008	73042073	23066	+	0	overlapStart	0	Camkk1
chr11	77493589	77493894	306	*	X088	216963	77493562	77507786	14225	+	0	inside	26	Git1
chr11	78165311	78165625	315	*	X089	22032	78158499	78165589	7091	-	0	overlapStart	0	Traf4
chr11	88099148	88099167	20	*	X090	103841	88099146	88194140	94995	+	0	inside	1	Cuedc1
chr11	88099258	88099624	367	*	X091	103841	88099146	88194140	94995	+	0	inside	111	Cuedc1
chr11	93996085	93996326	242	*	X092	70834	93996091	94126085	129995	+	0	overlapStart	0	Spag9
chr11	93995858	93995894	37	*	X093	70834	93996091	94126085	129995	+	196	upstream	196	Spag9
chr11	97362385	97362867	483	*	X094	192157	97362435	97398542	36108	+	0	overlapStart	0	Socs7
chr11	97575095	97575389	295	*	X095	56013	97509340	97575226	65887	-	0	overlapStart	0	Srcin1
chr11	116412619	116412991	373	*	X098	217340	116336353	116413032	76680	-	0	inside	40	Rnf157
chr11	119085927	119086244	318	*	X100	12418	119077573	119086221	8649	-	0	overlapStart	0	Cbx4
chr11	120784128	120784421	294	*	X101	19719	120780746	120784207	3462	-	0	overlapStart	0	Rfng
chr11	120784128	120784421	294	*	X101	209318	120784272	120789102	4831	+	0	overlapStart	0	Gps1
chr11	120784497	120784574	78	*	X102	19719	120780746	120784207	3462	-	289	upstream	289	Rfng
chr11	120784497	120784574	78	*	X102	209318	120784272	120789102	4831	+	0	inside	224	Gps1
chr11	121259809	121259874	66	*	X103	68837	121259990	121309896	49907	+	115	upstream	115	Foxk2
chr11	121260166	121260218	53	*	X104	68837	121259990	121309896	49907	+	0	inside	175	Foxk2
chr12	4476650	4477192	543	*	X106	17977	4247362	4477182	229821	-	0	overlapStart	0	Ncoa1
chr12	4477284	4477339	56	*	X107	17977	4247362	4477182	229821	-	101	upstream	101	Ncoa1
chr12	24651339	24651518	180	*	X108	194655	24651274	24662789	11516	+	0	inside	64	Klf11
chr12	69986819	69987270	452	*	X109	64010	69965012	69987002	21991	-	0	overlapStart	0	Sav1
chr12	80436313	80436842	530	*	X111	320808	80335848	80436601	100754	-	0	overlapStart	0	Dcaf5
chr12	103532426	103532761	336	*	X112	74521	103532283	103613831	81549	+	0	inside	142	Ppp4r4
chr12	104751807	104752143	337	*	X113	192119	104687742	104751952	64211	-	0	overlapStart	0	Dicer1
chr12	108274988	108275338	351	*	X114	668158	108203602	108275425	71824	-	0	inside	86	Ccdc85c
chr12	110978778	110979057	280	*	X115	74251	110975353	110979040	3688	-	0	overlapStart	0	Ankrd9
chr12	111039519	111039880	362	*	X116	217864	111039351	111115901	76551	+	0	inside	167	Rcor1
chr12	111907772	111908082	311	*	X117	21981	111828457	111908110	79654	-	0	inside	27	Ppp1r13b
chr12	113185787	113186217	431	*	X121	69195	113185930	113189523	3594	+	0	overlapStart	0	Tmem121
chr13	9764105	9765050	946	*	X122	66505	9684833	9765330	80498	-	0	inside	279	Zmynd11
chr13	14064142	14064585	444	*	X124	14593	14050659	14063488	12830	-	653	upstream	653	Ggps1
chr13	17804875	17805208	334	*	X125	69562	17710315	17805097	94783	-	0	overlapStart	0	Cdk13
chr13	41605842	41606184	343	*	X128	621976	41605907	41641355	35449	+	0	overlapStart	0	Tmem170b
chr13	43480893	43481491	599	*	X129	56705	43402675	43481282	78608	-	0	overlapStart	0	Ranbp9
chr13	45001886	45002095	210	*	X132	94245	44922075	45002147	80073	-	0	inside	51	Dtnbp1
chr13	45002172	45002228	57	*	X133	94245	44922075	45002147	80073	-	24	upstream	24	Dtnbp1
chr13	47105807	47106158	352	*	X134	110052	47084775	47106201	21427	-	0	inside	42	Dek
chr13	51100739	51100770	32	*	X135	20729	51100880	51152546	51667	+	109	upstream	109	Spin1
chr13	51100864	51101242	379	*	X136	20729	51100880	51152546	51667	+	0	overlapStart	0	Spin1
chr13	51793391	51793727	337	*	X137	20354	51685529	51793747	108219	-	0	inside	19	Sema4d
chr13	55445216	55445222	7	*	X138	26385	55445072	55460927	15856	+	0	inside	143	Grk6
chr13	55445361	55445612	252	*	X139	26385	55445072	55460927	15856	+	0	inside	288	Grk6
chr13	56703154	56703483	330	*	X142	17129	56703010	56742377	39368	+	0	inside	143	Smad5
chr13	58128193	58128488	296	*	X143	77134	58125879	58128556	2678	-	0	inside	67	Hnrnpa0
chr13	58128659	58128901	243	*	X144	77134	58125879	58128556	2678	-	102	upstream	102	Hnrnpa0
chr13	58215210	58215640	431	*	X145	56085	58176156	58215653	39498	-	0	inside	12	Ubqln1
chr13	58358769	58359120	352	*	X146	75050	58287502	58359122	71621	-	0	inside	1	Kif27
chr13	60601852	60602267	416	*	X147	69635	60601947	60763191	161245	+	0	overlapStart	0	Dapk1
chr13	78198201	78198667	467	*	X148	320174	78198017	78236564	38548	+	0	inside	183	A830082K12Rik
chr13	78198725	78199464	740	*	X149	13865	78188973	78199757	10785	-	0	inside	292	Nr2f1
chr13	93499399	93499971	573	*	X152	57748	93430101	93499808	69708	-	0	overlapStart	0	Jmy
chr13	100651359	100651681	323	*	X153	108143	100651343	100656060	4718	+	0	inside	15	Taf9
chr13	100651359	100651681	323	*	X153	19356	100617164	100651051	33888	-	307	upstream	307	Rad17
chr13	103920690	103921191	502	*	X154	59079	103818787	103920514	101728	-	175	upstream	175	Erbin
chr13	107022198	107022216	19	*	X156	100040322	107022553	107055497	32945	+	336	upstream	336	3830408C21Rik
chr13	107022198	107022216	19	*	X156	16563	106958996	107022126	63131	-	71	upstream	71	Kif2a
chr13	107022487	107022549	63	*	X157	100040322	107022553	107055497	32945	+	3	upstream	3	3830408C21Rik
chr13	107022487	107022549	63	*	X157	16563	106958996	107022126	63131	-	360	upstream	360	Kif2a
chr13	107888941	107890036	1096	*	X158	67263	107724617	107890064	165448	-	0	inside	27	Zswim6
chr13	113617883	113618319	437	*	X161	170625	113592179	113618564	26386	-	0	inside	244	Snx18
chr13	119428160	119429509	1350	*	X162	218693	119428601	119458218	29618	+	0	overlapStart	0	Paip1
chr13	119488221	119488415	195	*	X163	633640	119488039	119611059	123021	+	0	inside	181	Tmem267
chr13	119488221	119488415	195	*	X163	67304	119487252	119488384	1133	-	0	overlapStart	0	3110070M22Rik
chr14	8214251	8214542	292	*	X164	71393	8214140	8223563	9424	+	0	inside	110	Kctd6
chr14	18331304	18331852	549	*	X166	22194	18282722	18331859	49138	-	0	inside	6	Ube2e1
chr14	34310539	34310612	74	*	X169	14661	34310727	34345265	34539	+	114	upstream	114	Glud1
chr14	34310539	34310612	74	*	X169	75698	34237033	34310493	73461	-	45	upstream	45	Shld2
chr14	34310658	34310931	274	*	X170	14661	34310727	34345265	34539	+	0	overlapStart	0	Glud1
chr14	34310658	34310931	274	*	X170	75698	34237033	34310493	73461	-	164	upstream	164	Shld2
chr14	45657814	45658110	297	*	X171	100628600	45657961	45658053	93	-	0	includeFeature	0	Mir5131
chr14	45657814	45658110	297	*	X171	114874	45588467	45658143	69677	-	0	inside	32	Ddhd1
chr14	49172163	49172482	320	*	X172	70646	49172226	49191031	18806	+	0	overlapStart	0	Naa30
chr14	61439381	61439705	325	*	X174	16648	61365211	61439874	74664	-	0	inside	168	Kpna3
chr14	65358480	65358854	375	*	X176	380912	65358389	65398930	40542	+	0	inside	90	Zfp395
chr14	70519851	70520187	337	*	X177	12153	70474558	70520234	45677	-	0	inside	46	Bmp1
chr14	70766166	70766770	605	*	X178	65246	70654246	70766628	112383	-	0	overlapStart	0	Xpo7
chr14	73325457	73326059	603	*	X179	19645	73195502	73325822	130321	-	0	overlapStart	0	Rb1
chr14	87416533	87417060	528	*	X180	219249	87416639	87545504	128866	+	0	overlapStart	0	Tdrd3
chr14	103098942	103099308	367	*	X182	50789	103080239	103099566	19328	-	0	inside	257	Fbxl3
chr14	104467427	104468077	651	*	X183	18996	104461676	104467999	6324	-	0	overlapStart	0	Pou4f1
chr14	104468140	104468380	241	*	X184	18996	104461676	104467999	6324	-	140	upstream	140	Pou4f1
chr14	115041342	115041874	533	*	X186	387135	115043851	115043946	96	+	1976	upstream	1976	Mir18
chr14	115041342	115041874	533	*	X186	723905	115043671	115043754	84	+	1796	upstream	1796	Mir17
chr14	115041925	115042039	115	*	X187	387135	115043851	115043946	96	+	1811	upstream	1811	Mir18
chr14	115041925	115042039	115	*	X187	723891	115044000	115044081	82	+	1960	upstream	1960	Mir19a
chr14	115041925	115042039	115	*	X187	723905	115043671	115043754	84	+	1631	upstream	1631	Mir17
chr14	120478271	120478308	38	*	X188	76108	120478444	120507194	28751	+	135	upstream	135	Rap2a
chr14	120478418	120478759	342	*	X189	76108	120478444	120507194	28751	+	0	overlapStart	0	Rap2a
chr14	120911136	120911472	337	*	X190	70572	120911224	120947999	36776	+	0	overlapStart	0	Ipo5
chr14	121797543	121797890	348	*	X193	105445	121542046	121797837	255792	-	0	overlapStart	0	Dock9
chr14	121797931	121797957	27	*	X194	105445	121542046	121797837	255792	-	93	upstream	93	Dock9
chr15	9071438	9071748	311	*	X198	68646	9071260	9110891	39632	+	0	inside	177	Nadk2
chr15	12117957	12118563	607	*	X199	22763	12117831	12185683	67853	+	0	inside	125	Zfr
chr15	31530736	31531059	324	*	X201	223455	31455891	31531053	75163	-	0	overlapStart	0	Marchf6
chr15	31531112	31531311	200	*	X202	223455	31455891	31531053	75163	-	58	upstream	58	Marchf6
chr15	38078345	38078865	521	*	X204	70790	37967328	38078854	111527	-	0	overlapStart	0	Ubr5
chr15	39943742	39944094	353	*	X206	239393	39870589	39943994	73406	-	0	overlapStart	0	Lrp12
chr15	53345969	53346250	282	*	X207	14042	53064038	53346159	282122	-	0	overlapStart	0	Ext1
chr15	53346328	53346361	34	*	X208	14042	53064038	53346159	282122	-	168	upstream	168	Ext1
chr15	58823005	58823419	415	*	X209	74868	58782269	58823530	41262	-	0	inside	110	Tmem65
chr15	64060076	64060434	359	*	X211	223601	63929097	64060478	131382	-	0	inside	43	Cyrib
chr15	73184548	73184914	367	*	X214	239528	73095844	73184935	89092	-	0	inside	20	Ago2
chr15	73185079	73185102	24	*	X215	239528	73095844	73184935	89092	-	143	upstream	143	Ago2
chr15	73422865	73423179	315	*	X216	14083	73205102	73423280	218179	-	0	inside	100	Ptk2
chr15	75748009	75748244	236	*	X221	378435	75745490	75748228	2739	-	0	overlapStart	0	Mafa
chr15	76009365	76009761	397	*	X222	432964	76009888	76046981	37094	+	126	upstream	126	Iqank1
chr15	76069266	76069639	374	*	X223	105782	76047158	76069784	22627	-	0	inside	144	Scrib
chr15	76817861	76818196	336	*	X226	223666	76723985	76818170	94186	-	0	overlapStart	0	Arhgap39
chr15	79834115	79834428	314	*	X229	494448	79823896	79834688	10793	-	0	inside	259	Cbx6
chr15	79834115	79834428	314	*	X229	504193	79789262	79834325	45064	-	0	overlapStart	0	Npcd
chr15	81745278	81745620	343	*	X231	19387	81704248	81745530	41283	-	0	overlapStart	0	Rangap1
chr15	81745278	81745620	343	*	X231	20286	81745057	81796260	51204	+	0	inside	220	Zc3h7b
chr15	84855897	84856316	420	*	X232	271305	84785381	84856049	70669	-	0	overlapStart	0	Phf21b
chr15	85821530	85821871	342	*	X235	18766	85814670	85821734	7065	-	0	overlapStart	0	Pkdrej
chr15	88751729	88752005	277	*	X236	223773	88751660	88784516	32857	+	0	inside	68	Zbed4
chr15	89499229	89500097	869	*	X238	58234	89499623	89560261	60639	+	0	overlapStart	0	Shank3
chr15	96286743	96287681	939	*	X242	77044	96287518	96404992	117475	+	0	overlapStart	0	Arid2
chr15	96460501	96460915	415	*	X243	72193	96411699	96460843	49145	-	0	overlapStart	0	Scaf11
chr15	99224547	99224808	262	*	X247	16512	99224861	99242817	17957	+	52	upstream	52	Kcnh3
chr15	100038657	100038993	337	*	X248	239667	100038664	100219473	180810	+	0	overlapStart	0	Dip2b
chr15	100636545	100636909	365	*	X249	207818	100621339	100636940	15602	-	0	inside	30	Smagp
chr15	101173893	101173953	61	*	X250	11479	101174067	101213684	39618	+	113	upstream	113	Acvr1b
chr15	101174069	101174293	225	*	X251	11479	101174067	101213684	39618	+	0	inside	1	Acvr1b
chr16	4420085	4420501	417	*	X254	11515	4287529	4420498	132970	-	0	overlapStart	0	Adcy9
chr16	4594696	4594778	83	*	X255	83396	4594713	4624924	30212	+	0	overlapStart	0	Glis2
chr16	4594879	4595022	144	*	X256	83396	4594713	4624924	30212	+	0	inside	165	Glis2
chr16	18877131	18877455	325	*	X261	18100	18872018	18876862	4845	-	268	upstream	268	Mrpl40
chr16	20621247	20621395	149	*	X262	73047	20619215	20621287	2073	-	0	overlapStart	0	Camk2n2
chr16	20621469	20621560	92	*	X263	73047	20619215	20621287	2073	-	181	upstream	181	Camk2n2
chr16	32643834	32643840	7	*	X267	51789	32643874	32683493	39620	+	33	upstream	33	Tnk2
chr16	32643873	32644412	540	*	X268	51789	32643874	32683493	39620	+	0	overlapStart	0	Tnk2
chr16	37868298	37868754	457	*	X270	320184	37868389	37888858	20470	+	0	overlapStart	0	Lrrc58
chr16	43979616	43980027	412	*	X271	332175	43965033	43979791	14759	-	0	overlapStart	0	Zdhhc23
chr16	64852318	64852633	316	*	X272	72020	64780347	64851652	71306	-	665	upstream	665	Zfp654
chr16	77013747	77014265	519	*	X274	30940	77013706	77116780	103075	+	0	inside	40	Usp25
chr16	94569869	94570591	723	*	X277	13548	94570010	94695517	125508	+	0	overlapStart	0	Dyrk1a
chr16	97851325	97851819	495	*	X278	114604	97791467	97851850	60384	-	0	inside	30	Prdm15
chr17	3114861	3115583	723	*	X279	106583	3114972	3198859	83888	+	0	overlapStart	0	Scaf8
chr17	4994023	4994831	809	*	X280	239985	4994332	5347656	353325	+	0	overlapStart	0	Arid1b
chr17	5841095	5841613	519	*	X282	66616	5841329	5931954	90626	+	0	overlapStart	0	Snx9
chr17	6106666	6106737	72	*	X283	68842	6106479	6251128	144650	+	0	inside	186	Tulp4
chr17	12769210	12769718	509	*	X285	16004	12682406	12769664	87259	-	0	overlapStart	0	Igf2r
chr17	17826950	17827510	561	*	X287	75202	17827158	17843009	15852	+	0	overlapStart	0	Spaca6
chr17	26200996	26201465	470	*	X289	50782	26202951	26211324	8374	+	1485	upstream	1485	Rgs11
chr17	26200996	26201465	470	*	X289	69191	26195999	26199087	3089	-	1908	upstream	1908	Pdia2
chr17	26414774	26414801	28	*	X290	240055	26414829	26446349	31521	+	27	upstream	27	Neurl1b
chr17	26414865	26415182	318	*	X291	240055	26414829	26446349	31521	+	0	inside	35	Neurl1b
chr17	27203853	27204408	556	*	X292	224640	27189600	27204469	14870	-	0	inside	60	Lemd2
chr17	27556465	27556498	34	*	X293	111241	27556663	27563034	6372	+	164	upstream	164	Hmga1b
chr17	27556465	27556498	34	*	X293	15361	27556497	27563674	7178	+	0	overlapStart	0	Hmga1
chr17	27556603	27557369	767	*	X294	111241	27556663	27563034	6372	+	0	overlapStart	0	Hmga1b
chr17	27556603	27557369	767	*	X294	15361	27556497	27563674	7178	+	0	inside	105	Hmga1
chr17	28622063	28622458	396	*	X296	20815	28587648	28622709	35062	-	0	inside	250	Srpk1
chr17	29490721	29491150	430	*	X297	18712	29490753	29496112	5360	+	0	overlapStart	0	Pim1
chr17	30004943	30005101	159	*	X298	21769	30004733	30210828	206096	+	0	inside	209	Zfand3
chr17	31564892	31565476	585	*	X300	18771	31564734	31607693	42960	+	0	inside	157	Pknox1
chr17	31855601	31855820	220	*	X301	17691	31844250	31855804	11555	-	0	overlapStart	0	Sik1
chr17	34031888	34032235	348	*	X302	14977	34026034	34031682	5649	-	205	upstream	205	Slc39a7
chr17	34031888	34032235	348	*	X302	20182	34031812	34038399	6588	+	0	inside	75	Rxrb
chr17	34898327	34899097	771	*	X303	110147	34898469	34914052	15584	+	0	overlapStart	0	Ehmt2
chr17	35979765	35980132	368	*	X304	14670	35979851	35989462	9612	+	0	overlapStart	0	Gnl1
chr17	35979765	35980132	368	*	X304	75210	35972541	35980236	7696	-	0	inside	103	Prr3
chr17	47737058	47737306	249	*	X306	21425	47737030	47792419	55390	+	0	inside	27	Tfeb
chr17	50190132	50190663	532	*	X307	76438	49992257	50190674	198418	-	0	inside	10	Rftn1
chr17	50508914	50509730	817	*	X308	224860	50509403	50688484	179082	+	0	overlapStart	0	Plcl2
chr17	53567144	53567544	401	*	X309	18519	53566861	53672720	105860	+	0	inside	282	Kat2b
chr17	56140037	56140431	395	*	X310	20359	56123085	56140343	17259	-	0	overlapStart	0	Sema6b
chr17	56476220	56476439	220	*	X311	19280	56412426	56476483	64058	-	0	inside	43	Ptprs
chr17	56935223	56935487	265	*	X312	64144	56892611	56935415	42805	-	0	overlapStart	0	Mllt1
chr17	57031005	57031408	404	*	X313	16549	57021051	57031522	10472	-	0	inside	113	Khsrp
chr17	63499291	63500279	989	*	X314	50758	63057452	63500017	442566	-	0	overlapStart	0	Fbxl17
chr17	65612821	65613423	603	*	X315	30960	65578327	65613555	35229	-	0	inside	131	Vapa
chr17	66076480	66076836	357	*	X317	106585	65965698	66077089	111392	-	0	inside	252	Ankrd12
chr17	66519405	66519741	337	*	X318	19328	66494512	66519729	25218	-	0	overlapStart	0	Rab12
chr17	69383200	69383983	784	*	X319	22666	69383050	69391199	8150	+	0	inside	149	Zbtb14
chr17	74295213	74295546	334	*	X322	76890	74199036	74295521	96486	-	0	overlapStart	0	Memo1
chr17	74338811	74339144	334	*	X323	50850	74338987	74391115	52129	+	0	overlapStart	0	Spast
chr17	79895429	79895969	541	*	X324	56298	79848390	79896123	47734	-	0	inside	153	Atl2
chr17	80479974	80480299	326	*	X325	20662	80393751	80480453	86703	-	0	inside	153	Sos1
chr17	80727939	80728254	316	*	X326	225028	80580512	80728485	147974	-	0	inside	230	Map4k3
chr17	83706008	83706342	335	*	X327	116871	83706163	83821516	115354	+	0	overlapStart	0	Mta3
chr17	85687768	85688054	287	*	X329	20472	85684277	85688274	3998	-	0	inside	219	Six2
chr17	85688188	85688427	240	*	X330	20472	85684277	85688274	3998	-	0	overlapStart	0	Six2
chr17	88065103	88065426	324	*	X331	225055	87990859	88065291	74433	-	0	overlapStart	0	Fbxo11
chr18	5591981	5592440	460	*	X332	21417	5591860	5775467	183608	+	0	inside	120	Zeb1
chr18	46741912	46742265	354	*	X338	11777	46741876	46790826	48951	+	0	inside	35	Ap3s1
chr18	46741912	46742265	354	*	X338	67526	46730144	46741580	11437	-	331	upstream	331	Atg12
chr18	57878318	57878452	135	*	X339	20496	57878678	57946821	68144	+	225	upstream	225	Slc12a2
chr18	57878558	57879174	617	*	X340	20496	57878678	57946821	68144	+	0	overlapStart	0	Slc12a2
chr18	58659306	58659728	423	*	X341	66307	58659466	58680368	20903	+	0	overlapStart	0	Isoc1
chr18	60748199	60748411	213	*	X342	15531	60684494	60748650	64157	-	0	inside	238	Ndst1
chr18	67610582	67610912	331	*	X343	68166	67488209	67610790	122582	-	0	overlapStart	0	Spire1
chr18	73572966	73573474	509	*	X345	240396	73573044	73592575	19532	+	0	overlapStart	0	Mex3c
chr18	82692432	82692752	321	*	X346	329002	82593593	82692883	99291	-	0	inside	130	Zfp236
chr18	82692936	82692944	9	*	X347	329002	82593593	82692883	99291	-	52	upstream	52	Zfp236
chr19	3686614	3686748	135	*	X350	16973	3584828	3686564	101737	-	49	upstream	49	Lrp5
chr19	3686264	3686538	275	*	X351	16973	3584828	3686564	101737	-	0	inside	25	Lrp5
chr19	4398281	4398712	432	*	X354	225876	4314419	4398285	83867	-	0	overlapStart	0	Kdm2a
chr19	4614785	4615490	706	*	X355	225875	4611785	4615667	3883	-	0	inside	176	Lrfn4
chr19	5424712	5424810	99	*	X356	107242	5425144	5427313	2170	+	333	upstream	333	AI837181
chr19	5424712	5424810	99	*	X356	66556	5422805	5424979	2175	-	0	inside	168	Drap1
chr19	5425184	5425401	218	*	X357	107242	5425144	5427313	2170	+	0	inside	39	AI837181
chr19	5425184	5425401	218	*	X357	66556	5422805	5424979	2175	-	204	upstream	204	Drap1
chr19	5567782	5568193	412	*	X358	381201	5568025	5571261	3237	+	0	overlapStart	0	Ap5b1
chr19	6921447	6921784	338	*	X359	26379	6910977	6921813	10837	-	0	inside	28	Esrra
chr19	7056789	7057111	323	*	X360	107227	7056810	7198057	141248	+	0	overlapStart	0	Macrod1
chr19	7417687	7417715	29	*	X362	108899	7417625	7425904	8280	+	0	inside	61	2700081O15Rik
chr19	7417784	7418086	303	*	X363	108899	7417625	7425904	8280	+	0	inside	158	2700081O15Rik
chr19	18670893	18671289	397	*	X365	67383	18670764	18707200	36437	+	0	inside	128	Carnmt1
chr19	18713186	18713488	303	*	X366	225995	18713193	18718428	5236	+	0	overlapStart	0	D030056L22Rik
chr19	21272556	21272942	387	*	X367	22682	21272278	21286840	14563	+	0	inside	277	Zfand5
